id_cuadra,direccion,fecha,tiempo,ocupacion,lugares_cuadra,ocupacion_max,dispon_parq,altas_bajas(dia)
2,General Pinto 545,09-12-19,10:35:12,13,27,13,green,30
3,San Martín 452,09-12-19,10:33:53,9,19,10,green,13
4,Rodriguez 552,09-12-19,10:33:16,14,28,18,green,34
5,9 de Julio 441,09-12-19,10:34:05,7,26,7,green,9
7,San Martín 758,09-12-19,10:33:19,7,28,7,green,19
8,Sarmiento 641,09-12-19,10:33:31,10,22,10,green,18
11,San Martín 658,09-12-19,10:34:29,20,30,20,green,32
14,Rodriguez 464,09-12-19,10:33:57,7,30,9,green,20
15,General Pinto 631,09-12-19,10:34:47,10,25,10,green,23
16,San Martín 852,09-12-19,10:31:20,9,32,12,green,21
17,Belgrano 660,09-12-19,10:33:34,12,23,14,green,33
20,General Pinto 490,09-12-19,10:35:28,15,24,15,green,24
21,Belgrano 540,09-12-19,10:31:12,18,29,18,green,45
22,Belgrano 768,09-12-19,10:32:22,12,35,12,green,18
23,Belgrano 364,09-12-19,10:32:05,3,17,3,green,16
26,9 de Julio 345,09-12-19,10:33:56,7,20,10,green,18
27,General Pinto 843,09-12-19,10:34:00,13,22,13,green,23
28,General Pinto 945,09-12-19,10:33:24,2,12,4,green,9
30,San Martín 944,09-12-19,10:30:26,11,24,12,green,19
33,Sarmiento 755,09-12-19,10:34:55,10,32,12,green,22
34,Sarmiento 849,09-12-19,10:33:39,7,24,10,green,20
35,Sarmiento 945,09-12-19,10:32:34,6,18,7,green,23
36,Mitre 758,09-12-19,10:33:40,10,15,10,green,14
37,Mitre 846,09-12-19,10:31:47,3,20,4,green,19
38,Mitre 948,09-12-19,10:33:36,7,20,8,green,17
39,Chacabuco 442,09-12-19,10:34:24,13,25,13,green,38
41,Mitre 446,09-12-19,10:30:52,5,16,6,green,14
44,Alem 362,09-12-19,10:33:59,15,26,15,green,29
46,Alem 556,09-12-19,10:31:23,10,24,11,green,21
49,Alem 852,09-12-19,10:31:05,2,12,2,green,4
50,Oficina SUMO,09-12-19,10:30:25,2,14,3,green,4
51,Chacabuco 562,09-12-19,10:34:53,9,21,10,green,20
52,Chacabuco 646,09-12-19,10:32:45,8,21,8,green,17
53,Chacabuco 752,09-12-19,10:35:33,8,21,8,green,17
54,Chacabuco 852,09-12-19,10:33:20,3,23,3,green,5
55,14 de Julio 467,09-12-19,10:35:20,5,13,5,green,15
57,Yrigoyen 753,09-12-19,10:34:28,12,24,13,green,24
58,Yrigoyen 847,09-12-19,10:33:41,14,24,14,green,24
61,Chacabuco 357,09-12-19,10:30:22,12,22,12,green,23
65,Rodriguez 746,09-12-19,10:30:57,8,23,8,green,17
67,14 de Julio 347,09-12-19,10:34:47,5,20,6,green,20
68,14 de Julio 557,09-12-19,10:31:33,5,14,5,green,11
69,14 de Julio 657,09-12-19,10:33:41,4,10,5,green,13
73,Maipu 547,09-12-19,10:33:04,9,21,9,green,14
74,Maipu 653,09-12-19,10:34:22,9,20,10,green,22
75,Maipu 333,09-12-19,10:34:06,12,31,13,green,32
76,Maipu 741,09-12-19,10:34:57,10,24,11,green,30
77,Maipu 857,09-12-19,10:31:13,2,15,2,green,2
80,General Paz 447,09-12-19,10:34:42,12,36,15,green,31
82,General Paz 647,09-12-19,10:32:46,10,34,10,green,25
83,General Paz 739,09-12-19,10:31:22,4,18,4,green,15
85,Av. España 359,09-12-19,10:30:59,0,7,2,green,6
86,Av. España 481,09-12-19,10:30:13,1,10,1,green,3
88,Av. España 647,09-12-19,10:34:26,3,11,3,green,8
91,Av. España 957,09-12-19,10:34:55,2,13,3,green,7
93,Av. España 352,09-12-19,10:35:27,1,,1,green,2
95,Av. España 526,09-12-19,10:30:27,4,,5,green,12
96,Av. España 624,09-12-19,10:30:35,3,,3,green,3
99,Av. España 970,09-12-19,10:33:04,4,,6,green,13
2,General Pinto 545,09-12-19,10:40:15,11,27,13,green,32
6,General Pinto 759,09-12-19,10:40:14,15,30,16,green,31
7,San Martín 758,09-12-19,10:40:22,9,28,9,green,24
8,Sarmiento 641,09-12-19,10:38:55,9,22,10,green,19
9,San Martín 560,09-12-19,10:40:18,5,22,5,green,9
12,Belgrano 480,09-12-19,10:40:14,10,25,11,green,38
13,General Pinto 343,09-12-19,10:40:29,13,33,14,green,25
15,General Pinto 631,09-12-19,10:40:08,13,25,13,green,28
16,San Martín 852,09-12-19,10:40:08,7,32,12,green,23
17,Belgrano 660,09-12-19,10:40:06,13,23,14,green,37
19,Sarmiento 543,09-12-19,10:40:29,13,22,13,green,24
21,Belgrano 540,09-12-19,10:40:11,17,29,18,green,48
23,Belgrano 364,09-12-19,10:40:10,2,17,3,green,17
25,Belgrano 958,09-12-19,10:40:12,5,13,6,green,15
29,San Martín 364,09-12-19,10:40:13,8,19,8,green,18
30,San Martín 944,09-12-19,10:40:24,12,24,12,green,20
34,Sarmiento 849,09-12-19,10:40:14,8,24,10,green,23
35,Sarmiento 945,09-12-19,10:36:35,7,18,7,green,24
37,Mitre 846,09-12-19,10:40:12,5,20,5,green,21
38,Mitre 948,09-12-19,10:40:27,8,20,8,green,20
40,Mitre 348,09-12-19,10:40:29,1,22,1,green,8
43,Mitre 648,09-12-19,10:40:32,18,22,18,green,34
45,Alem 480,09-12-19,10:40:28,8,29,9,green,26
46,Alem 556,09-12-19,10:38:19,12,24,12,green,23
47,Alem 658,09-12-19,10:40:05,7,18,8,green,18
52,Chacabuco 646,09-12-19,10:40:28,10,21,10,green,21
53,Chacabuco 752,09-12-19,10:40:10,6,21,8,green,19
56,Yrigoyen 557,09-12-19,10:40:15,5,26,7,green,14
57,Yrigoyen 753,09-12-19,10:40:33,14,24,14,green,26
58,Yrigoyen 847,09-12-19,10:40:25,13,24,14,green,30
59,Yrigoyen 655,09-12-19,10:40:26,19,48,20,green,34
60,Fuerte Independencia 349,09-12-19,10:40:22,8,44,10,green,18
61,Chacabuco 357,09-12-19,10:40:16,14,22,14,green,27
62,9 de Julio 753,09-12-19,10:40:30,7,21,8,green,20
65,Rodriguez 746,09-12-19,10:40:28,9,23,9,green,21
66,Rodriguez 846,09-12-19,10:40:30,8,16,8,green,8
67,14 de Julio 347,09-12-19,10:40:03,4,20,6,green,21
68,14 de Julio 557,09-12-19,10:40:26,6,14,6,green,12
69,14 de Julio 657,09-12-19,10:40:13,3,10,5,green,14
73,Maipu 547,09-12-19,10:40:24,8,21,9,green,15
74,Maipu 653,09-12-19,10:40:20,13,20,13,green,26
75,Maipu 333,09-12-19,10:40:21,14,31,14,green,35
79,General Paz 347,09-12-19,10:40:28,2,12,2,green,2
80,General Paz 447,09-12-19,10:40:23,14,36,15,green,36
81,General Paz 547,09-12-19,10:39:38,4,17,4,green,9
82,General Paz 647,09-12-19,10:40:09,11,34,11,green,27
85,Av. España 359,09-12-19,10:40:24,1,7,2,green,7
86,Av. España 481,09-12-19,10:40:26,2,10,2,green,4
88,Av. España 647,09-12-19,10:40:22,4,11,4,green,9
89,Av. España 737,09-12-19,10:40:27,8,19,8,green,14
93,Av. España 352,09-12-19,10:40:29,0,,1,green,2
97,Av. España 774,09-12-19,10:40:25,5,,5,green,14
2,General Pinto 545,09-12-19,10:42:05,9,27,13,green,33
3,San Martín 452,09-12-19,10:42:30,10,19,10,green,15
4,Rodriguez 552,09-12-19,10:43:44,16,28,18,green,38
5,9 de Julio 441,09-12-19,10:44:24,8,26,8,green,12
6,General Pinto 759,09-12-19,10:43:27,14,30,16,green,34
7,San Martín 758,09-12-19,10:42:33,7,28,9,green,25
8,Sarmiento 641,09-12-19,10:44:35,10,22,10,green,21
9,San Martín 560,09-12-19,10:42:25,4,22,5,green,10
11,San Martín 658,09-12-19,10:44:58,22,30,22,green,38
12,Belgrano 480,09-12-19,10:44:13,12,25,12,green,42
14,Rodriguez 464,09-12-19,10:43:28,5,30,9,green,28
15,General Pinto 631,09-12-19,10:43:58,14,25,14,green,29
16,San Martín 852,09-12-19,10:41:14,8,32,12,green,24
19,Sarmiento 543,09-12-19,10:43:04,10,22,13,green,28
20,General Pinto 490,09-12-19,10:45:02,17,24,17,green,31
21,Belgrano 540,09-12-19,10:44:34,16,29,18,green,51
22,Belgrano 768,09-12-19,10:45:29,15,35,15,green,25
23,Belgrano 364,09-12-19,10:42:46,3,17,3,green,18
25,Belgrano 958,09-12-19,10:40:43,4,13,6,green,16
27,General Pinto 843,09-12-19,10:44:11,10,22,13,green,28
28,General Pinto 945,09-12-19,10:41:38,4,12,4,green,11
29,San Martín 364,09-12-19,10:42:04,7,19,8,green,19
32,Sarmiento 453,09-12-19,10:42:54,11,27,13,green,22
33,Sarmiento 755,09-12-19,10:42:51,11,32,12,green,23
35,Sarmiento 945,09-12-19,10:44:03,6,18,7,green,27
36,Mitre 758,09-12-19,10:41:09,9,15,10,green,15
37,Mitre 846,09-12-19,10:42:27,7,20,7,green,23
38,Mitre 948,09-12-19,10:41:00,9,20,9,green,21
39,Chacabuco 442,09-12-19,10:44:19,15,25,15,green,44
43,Mitre 648,09-12-19,10:40:32,16,22,18,green,34
49,Alem 852,09-12-19,10:43:22,1,12,2,green,5
50,Oficina SUMO,09-12-19,10:40:31,1,14,3,green,4
51,Chacabuco 562,09-12-19,10:41:37,10,21,10,green,22
52,Chacabuco 646,09-12-19,10:45:29,11,21,11,green,23
53,Chacabuco 752,09-12-19,10:44:29,7,21,8,green,20
55,14 de Julio 467,09-12-19,10:44:23,6,13,6,green,18
57,Yrigoyen 753,09-12-19,10:45:21,13,24,14,green,30
60,Fuerte Independencia 349,09-12-19,10:40:22,10,44,10,green,18
61,Chacabuco 357,09-12-19,10:43:19,13,22,14,green,28
64,Rodriguez 348,09-12-19,10:45:02,8,17,10,green,26
66,Rodriguez 846,09-12-19,10:42:59,9,16,9,green,9
69,14 de Julio 657,09-12-19,10:41:46,6,10,6,green,17
70,14 de Julio 767,09-12-19,10:42:50,5,21,5,green,7
72,Maipu 453,09-12-19,10:44:48,10,33,10,green,20
73,Maipu 547,09-12-19,10:43:55,7,21,9,green,18
75,Maipu 333,09-12-19,10:40:21,15,31,15,green,35
77,Maipu 857,09-12-19,10:42:54,1,15,2,green,3
80,General Paz 447,09-12-19,10:44:26,10,36,15,green,39
81,General Paz 547,09-12-19,10:42:41,5,17,5,green,12
82,General Paz 647,09-12-19,10:44:33,10,34,11,green,29
83,General Paz 739,09-12-19,10:42:25,6,18,6,green,17
87,Av. España 545,09-12-19,10:44:51,3,10,3,green,7
90,Av. España 843,09-12-19,10:42:38,3,15,3,green,5
91,Av. España 957,09-12-19,10:45:31,3,13,3,green,8
95,Av. España 526,09-12-19,10:41:38,5,,5,green,15
